act,scene,type,character,text
Act 1,Scene 3,dialogue,Scrooge,Who were you then?
Act 1,Scene 3,dialogue,Marley,"In life, I was your business partner: Jacob Marley."
Act 1,Scene 3,dialogue,Scrooge,I see . . . can you sit down?
Act 1,Scene 3,dialogue,Marley,I can.
Act 1,Scene 3,dialogue,Scrooge,Do it then.
Act 1,Scene 3,dialogue,Marley,"I shall. [Marley sits opposite Scrooge, in the chair across
the table, at the front of the fireplace.] You don’t believe in me."
Act 1,Scene 3,dialogue,Scrooge,I don’t.
Act 1,Scene 3,dialogue,Marley,Why do you doubt your senses?
Act 1,Scene 3,dialogue,Scrooge,"Because every little thing affects them. A slight
disorder of the stomach makes them cheat. You may be an
undigested bit of beef, a blot of mustard, a crumb of cheese, a
fragment of an underdone potato. There’s more of gravy than
of grave about you, whatever you are!"
Act 1,Scene 3,description,,"[There is a silence between them. Scrooge is made nervous by it.
He picks up a toothpick.]"
Act 1,Scene 3,dialogue,Scrooge,Humbug! I tell you: humbug!
Act 1,Scene 3,description,,"[Marley opens his mouth and screams a ghostly, fearful scream.
The scream echoes about each room of the house. Bats fly, cats
screech, lightning flashes. Scrooge stands and walks backwards
against the wall. Marley stands and screams again. This time, he
takes his head and lifts it from his shoulders. His head continues to
scream. Marley’s face again appears on every picture in the room:
all screaming. Scrooge, on his knees before Marley.]"
Act 1,Scene 3,dialogue,Scrooge,"Mercy! Dreadful apparition, mercy! Why, O! why do you
trouble me so?"
Act 1,Scene 3,dialogue,Marley,"Man of the worldly mind, do you believe in me,
or not?"
Act 1,Scene 3,dialogue,Scrooge,"I do. I must. But why do spirits such as you walk
the earth? And why do they come to me?"
Act 1,Scene 3,dialogue,Marley,"It is required of every man that the spirit within him
should walk abroad among his fellow-men, and travel far
and wide; and if that spirit goes not forth in life, it is
condemned to do so after death. [Marley screams again; a
tragic scream; from his ghostly bones.] I wear the chain I forged
in life. I made it link by link, and yard by yard. Is its pattern
strange to you? Or would you know, you, Scrooge, the weight
and length of the strong coil you bear yourself? It was full as 
heavy and long as this, seven Christmas Eves ago. You have
labored on it, since. It is a ponderous chain."
Act 1,Scene 3,description,,"[Terrified that a chain will appear about his body, Scrooge spins
and waves the unwanted chain away. None, of course, appears. Sees
Marley watching him dance about the room. Marley watches
Scrooge; silently.]"
Act 1,Scene 3,dialogue,Scrooge,"Jacob. Old Jacob Marley, tell me more. Speak
comfort to me, Jacob . . ."
Act 1,Scene 3,dialogue,Marley,"I have none to give. Comfort comes from other
regions, Ebenezer Scrooge, and is conveyed by other
ministers, to other kinds of men. A very little more, is all that
is permitted to me. I cannot rest, I cannot stay, I cannot linger
anywhere . . . [He moans again.] My spirit never walked
beyond our counting-house—mark me!—in life my spirit 
never roved beyond the narrow limits of our money-
changing hole; and weary journeys lie before me!"
Act 1,Scene 3,dialogue,Scrooge,"But you were always a good man of business,
Jacob."
Act 1,Scene 3,dialogue,Marley,"[Screams word “business”; a flash-pot explodes with him.]
BUSINESS!!! Mankind was my business. The common
welfare was my business; charity, mercy, forbearance,
benevolence, were, all, my business. [Scrooge is quaking.]
Hear me, Ebenezer Scrooge! My time is nearly gone."
Act 1,Scene 3,dialogue,Scrooge,"I will, but don’t be hard upon me. And don’t be
flowery, Jacob! Pray!"
Act 1,Scene 3,dialogue,Marley,"How is it that I appear before you in a shape that
you can see, l may not tell. I have sat invisible beside you
many and many a day. That is no light part of my penance. I
am here tonight to warn you that you have yet a chance and
hope of escaping my fate. A chance and hope of my
procuring, Ebenezer."
Act 1,Scene 3,dialogue,Scrooge,You were always a good friend to me. Thank’ee!
Act 1,Scene 3,dialogue,Marley,You will be haunted by Three Spirits.
Act 1,Scene 3,dialogue,Scrooge,"Would that be the chance and hope you mentioned,
Jacob?"
Act 1,Scene 3,dialogue,Marley,It is.
Act 1,Scene 3,dialogue,Scrooge,I think I’d rather not.
Act 1,Scene 3,dialogue,Marley,"Without their visits, you cannot hope to shun the
path I tread. Expect the first one tomorrow, when the bell
tolls one."
Act 1,Scene 3,dialogue,Scrooge,"Couldn’t I take ’em all at once, and get it over,
Jacob?"
Act 1,Scene 3,dialogue,Marley,"Expect the second on the next night at the same hour.
The third upon the next night when the last stroke of twelve
has ceased to vibrate. Look to see me no more. Others may,
but you may not. And look that, for your own sake, you
remember what has passed between us!"
Act 1,Scene 3,description,,"[Marley places his head back upon his shoulders. He approaches the
window and beckons to Scrooge to watch. Outside the window,
specters fly by, carrying money-boxes and chains. They make a
confused sound of lamentation. Marley, after listening a moment,
joins into their mournful dirge. He leans to the window and floats
out into the bleak, dark night. He is gone.]"
Act 1,Scene 3,dialogue,Scrooge,"[Rushing to the window] Jacob! No, Jacob! Don’t
leave me! I’m frightened! [He sees that Marley has gone. He
looks outside. He pulls the shutter closed, so that the scene is
blocked from his view. All sound stops. After a pause, he re-opens
the shutter and all is quiet, as it should be on Christmas Eve.
Carolers carol out of doors, in the distance. Scrooge closes the
shutter and walks down the stairs. He examines the door by which
Marley first entered.] No one here at all! Did I imagine all that?
Humbug! [He looks about the room.] I did imagine it. It only
happened in my foulest dream-mind, didn’t it? An
undigested bit of . . . [Thunder and lightning in the room;
suddenly] Sorry! Sorry!"
Act 1,Scene 3,description,,[There is silence again. The lights fade out.]
Act 1,Scene 4,description,,"[Christmas music, choral, “Hark the Herald Angels Sing,” sung by
an onstage choir of children, spotlighted, D.C. Above, Scrooge in
his bed, dead to the world, asleep, in his darkened room. It should
appear that the choir is singing somewhere outside of the house, of
course, and a use of scrim is thus suggested. When the singing is
ended, the choir should fade out of view and Marley should fade
into view, in their place.]"
Act 1,Scene 4,dialogue,Marley,"[Directly to audience] From this point forth . . . I shall
be quite visible to you, but invisible to him. [Smiles] He will
feel my presence, nevertheless, for, unless my senses fail me
completely, we are—you and I—witness to the changing of a
miser: that one, my partner in life, in business, and in eternity:
that one: Scrooge. [Moves to staircase, below Scrooge] See him
now. He endeavors to pierce the darkness with his ferret
eyes.[To audience] See him, now. He listens for the hour."
Act 1,Scene 4,description,,"[The bells toll. Scrooge is awakened and quakes as the hour
approaches one o’clock, but the bells stop their sound at the hour
of twelve.]"
Act 1,Scene 4,dialogue,Scrooge,"[Astonished] Midnight! Why this isn’t possible. It
was past two when I went to bed. An icicle must have gotten
into the clock’s works! I couldn’t have slept through the
whole day and far into another night. It isn’t possible that
anything has happened to the sun, and this is twelve at noon!
[He runs to window; unshutters same; it is night.] Night, still.
Quiet, normal for the season, cold. It is certainly not noon.
I cannot in any way afford to lose my days. Securities come
due, promissory notes, interest on investments: these are
things that happen in the daylight! [He returns to his bed.]
Was this a dream?"
Act 1,Scene 4,description,,[Marley appears in his room. He speaks to the audience.]
Act 1,Scene 4,dialogue,Marley,"You see? He does not, with faith, believe in me fully,
even still! Whatever will it take to turn the faith of a miser
from money to men?"
Act 1,Scene 4,dialogue,Scrooge,"Another quarter and it’ll be one and Marley’s
ghostly friends will come. [Pauses; listens] Where’s the chime
for one? [Ding, dong] A quarter past [Repeats] Half-past!
[Repeats] A quarter to it! But where’s the heavy bell of the
hour one? This is a game in which I lose my senses! Perhaps,
if I allowed myself another short doze . . ."
Act 1,Scene 4,dialogue,Marley,". . . Doze, Ebenezer, doze."
Act 1,Scene 4,description,,"[A heavy bell thuds its one ring; dull and definitely one o’clock.
There is a flash of light. Scrooge sits up, in a sudden. A hand
draws back the curtains by his bed. He sees it.]"
Act 1,Scene 4,dialogue,Scrooge,A hand! Who owns it! Hello!
Act 1,Scene 4,description,,"[Ghostly music again, but of a new nature to the play. A strange
figure stands before Scrooge—like a child, yet at the same time
like an old man: white hair, but unwrinkled skin, long, muscular
arms, but delicate legs and feet. Wears white tunic; lustrous belt
cinches waist. Branch of fresh green holly in its hand, but has its
dress trimmed with fresh summer flowers. Clear jets of light
spring from the crown of its head. Holds cap in hand. The Spirit is
called Past.]"
Act 1,Scene 4,dialogue,Scrooge,"Are you the Spirit, sir, whose coming was foretold to me?"
Act 1,Scene 4,dialogue,Past,I am.
Act 1,Scene 4,dialogue,Marley,Does he take this to be a vision of his green grocer?
Act 1,Scene 4,dialogue,Scrooge,"Who, and what are you?"
Act 1,Scene 4,dialogue,Past,I am the Ghost of Christmas Past.
Act 1,Scene 4,dialogue,Scrooge,Long past?
Act 1,Scene 4,dialogue,Past,Your past.
Act 1,Scene 4,dialogue,Scrooge,"May I ask, please, sir, what business you have here
with me?"
Act 1,Scene 4,dialogue,Past,Your welfare.
Act 1,Scene 4,dialogue,Scrooge,"Not to sound ungrateful, sir, and really, please do
understand that I am plenty obliged for your concern, but,
really, kind spirit, it would have done all the better for my
welfare to have been left alone altogether, to have slept
peacefully through this night."
Act 1,Scene 4,dialogue,Past,"Your reclamation, then. Take heed!"
Act 1,Scene 4,dialogue,Scrooge,My what?
Act 1,Scene 4,dialogue,Past,"[Motioning to Scrooge and taking his arm] Rise! Fly with
me! [He leads Scrooge to the window.]"
Act 1,Scene 4,dialogue,Scrooge,"[Panicked] Fly, but I am a mortal and cannot fly!"
