
mira y admira a mis gemelitas.”

				THE HERON: “Standing on one leg, the heron

				“Not quite,” Teresita said, waving the cards in front of us before shuffling them expertly in her manly hands. “These cards are more ancient than your Lotería. More powerful. They will help you reach your destination, the home of your ancestors.”

				“Our car broke down,” I said, being careful not to divulge too much information.

				“I know,” she said, leaning forward and looking at the deck spread before her. “You’re going to have to travel by foot the rest of the way.” She picked up a card and almost pressed her globular nose to it to look at it closely. Then she did the same with five other cards before she straightened up and sighed.

				“How much farther is it?” I asked.

				“It is a difficult road you’ve taken, one riddled with hardships and painful ordeals, but then again, you are difficult children.” She smiled as she said it, pointing a crooked index finger at us. “Unfortunately, the road ahead is full of trials and tribulations. You have angered the witch and now you must pay for your transgressions.”

				The doom of her words dragged me down, anchored me in misery at the knowledge that I could have avoided what was coming. “Pay?”

				“Yes,” Teresita said, looking at me closely now. “But then again, you knew that already, didn’t you?”

				“Knew what?” Juanita asked, turning back and forth between me and Teresita, waiting for answers that we were both reluctant to disclose.

				“Cecilia has called upon evil to plague you,” Teresita proclaimed, putting her hands over three of the cards on the table before us. “They are coming this way, the children of the night, traveling forth from the ancient world, coming from far and wide to avenge their mother.”

				“Cecilia has children?” Velia asked, leaning down to look at the cards. “But she said she didn’t.”

				“Not children like you.” Teresita turned the three cards on the table upside down and leaned over to get a better look at them. “Adopted children. Immortal children crafted by the devil himself and loosed upon this earth to aid in its destruction. Cecilia is a crafty, skillful sorceress. She has survived through the ages by cultivating that which lives and breathes in the darkest part of our fearful minds. In her greed, her need for power, she has cultivated three of our greatest nightmares, nurturing their dark souls and sustaining their evil spirits by feeding them only malevolence and sin. In a way, she is more their mother than their own creators, and that is the problem. Your arrogance and conceit has called upon her wrath and now you must face that which she has beset upon you, the Evil Trinity.”

				Velia put her hand on my shoulder to get my attention. “And you knew about this?”

				“Why didn’t you warn us?” Delia demanded.

				Petrified in my seat by Teresita’s horrible prediction, I could only blink away my fearful tears. “I didn’t know she was real,” I finally admitted. “I met La Llorona at the river. She warned me about all this, but I was too skeptical to believe her.”

				“Wait a minute. La Llorona is real?” Juanita asked.

				“Yes, but she’s not evil. She’s actually trying to help us,” I continued. “I tried telling you about it, but you didn’t believe me. So I dismissed her warnings — until this morning, when you started taunting Cecilia and I heard her curse us. I’m sorry. It’s my fault. I should have told you everything from the start.”

				“I wanna go home,” Pita cried, reaching for Juanita, who took her in her arms and kissed her forehead like Mamá soothes us.

				“You can’t run away from this,” Teresita said, touching the cards and looking at the ceiling blindly. “This time you have to face your nightmares.”

				Teresita was right. If only I’d warned my sisters of La Llorona’s caution to be humble and good, we wouldn’t be in this mess. Now it was up to me to contend with whatever evil I had brought upon us. I had to protect my hermanitas. “Isn’t there anything we can do to stop them? La Llorona gave me this amulet, these earrings. She said I could use it five times, once for each circle on its orbit, but I’ve already used it three times.”

				“What Cecilia has beset upon you is just the beginning. You must save the ear pendant’s remaining gifts. Use them sensibly, for there is so much more to life than nightmares and demons in the dark. In order to go home, to be truly happy again, you must face the worst enemy of all, the monster that lives among you. But you’ll need your magical gift to get there, so save your good fortune — use it wisely.”

				“Can’t you help us?” I peered across the table trying to get a better look at what was coming after us.

				“I can’t stop them,” Teresita said. “It is not within my power. All I can do is perceive and forewarn. But there are other ways I can help you. I can see into your future and advise you, caution you. Tell you how to defeat that which dwells in the mystical realm. Those are things I am familiar with, things within my sight.”

				Teresita went back to looking closely at the cards. I waited anxiously, signaling to my sisters to be quiet as she pondered.

				She pointed to a card. “El nagual.” Then she rested her fingertips on two other cards sitting close together on the table. “Lechuzas, lots of them.”

				“Witch owls?” Juanita cried out. “Where? When?”

				“¿El nagual?” I asked. “What’s that?”

				“Un brujo, a devious warlock. You will meet him first, but he will not show himself as who he really is. He will come in disguise, asking for help. But don’t be deceived by his helplessness; he is wily and ruthless. At first, you won’t know it is him. But once you discover his evil plot, you must sing and chant. Sing the song of the moon and the cave, the song of the birds and the rain, the song of your childhood. It will invoke the Mother and he will be much afraid.”

				“But we don’t know the song of the cave,” I said, looking around at my sisters for confirmation of our ignorance. Their faces were as confused as I’m sure mine looked.

				“The lechuzas will be more difficult to escape,” she continued. “They are evil beyond compare. Their tongues are made of the fifth element, and their words are sharp metal talons that can cut through even the cleverest of men. To avert the paralyzing effect of their punishment you must pray seven Padres Nuestros and seven Ave Marías while you tie seven perfectly spaced knots on a silk thread. Only then will you be able to escape the flame in their eyes.”

				“Flame in their eyes? Are you kidding?” Juanita asked, the tone of her voice told me she’d had enough of Teresita’s riddles. I had already met La Llorona and listened to her cryptic message, so my own dismay was not as great as that of my sisters.

				“Juanita, please,” I whispered, pinching her arm under the table.

				“Well, what does she mean by that?” she asked, rubbing her arm absently. “I mean, what kind of advice is this? Cave songs and knots on stupid strings?”

				“Don’t be rude.” Juanita’s lack of respect to the elderly Teresita embarrassed me. Teresita was only trying to help us get out of this mess unscathed. I thought. Of course, given our experiences with Cecilia, I wasn’t sure I could believe everything Teresita had to say, so I kept my ears and eyes open for suspicious behavior from the old soothsayer. Even if Cecilia had been under a spell and forced to tell the truth, I couldn’t help but worry about my sisters. But if she was telling the truth, she was giving us answers we needed to pay attention to, even if we didn’t understand them right now.

				“No. It’s all right,” Teresita said. “It is this girl’s fire that will keep you safe as you face the last of the malevolent trinity — the wretched chupacabras.”

				“¡El chupacabras!” Pita wailed, terrified.

				“There is no such thing! I’m outta here,” Juanita exclaimed, jumping out of the chair and heading for the gaping door.

				“Believe me, child,” Teresita’s husband said, stepping out of the darkness that suddenly seemed to overcast the room. He stood in front of the door, impeding Juanita’s progress. “The chupacabras is very real. I saw it with my own two eyes, and I don’t have cataracts.”

				The twins had started for the door too, but like Juanita, they stopped to listen to Teresita’s husband. “Where?” Delia asked, crossing her arms in front of her chest.

				“When?” Velia demanded, mimicking her sister.

				“A few months ago, out there, at the base of the cerro. It was sucking the life out of one of my goats. It hissed at me, when I came upon it. Its prickly coarse hair stood up like a sharp razor along the length of its back. It snarled and flew at me, the scrawny little thing. But I wasn’t scared. I picked up my rifle and shot at it.”

				“You killed it?” Pita asked, sounding relieved.

				“No,” Teresita’s husband said, looking a little chagrined yet firm at the same time. “But I injured it. Shot it through its left eye. Bullet went right into its head. It howled like a rabid dog. I’ve never seen anything like it before or since.”

				“That’s the good news,” Teresita said, leaning in to grip my hand with her clawlike fingers. “It’s been injured by human hands, so it will be wary. But don’t be fooled by its meekness. Its heart is pure evil. There is no humanity left in him.”

				“But how . . .” I started, feeling completely overwhelmed by everything Teresita had said. Questions ran through my head. How would we recognize el nagual? Juanita had a point — what was the song of the cave? It felt as if Teresita had given us more questions than answers.

				“Don’t show the chupacabras any mercy,” Teresita’s husband advised. “Take the nearest tree branch and pound its head in.”

				“But what if it . . .” Pita started to speak, but fear devoured her voice and she didn’t finish her sentence.

				“It won’t,” Teresita assured us. “It is all in the spread of the cards. You can save yourselves, but only if you are brave and cunning and stick together through these nightmares. You must never falter in your faith. It is the only way you will make it alive to your Mamá’s house. You were never meant to die on the way. There are too many demons yet to be faced, too many tears yet to be shed.”

				I wasn’t sure I heard Teresita right. Was she trying to tell us that there were more demons waiting at home? If that was so, our journey was going to be longer and more worrisome than I’d been led to believe.




